Number,JD,Date,Greatest eclipse,DeltaT,Luna number,Saros number,Type,QLE
09522,2454000.98699,2006 Sep 22,11:41:16,65,83,144,A,p-
09523,2454178.60622,2007 Mar 19,02:32:57,65,89,149,P,t-
09524,2454355.0225,2007 Sep 11,12:32:24,66,95,154,P,t-
09525,2454503.664,2008 Feb 07,03:56:10,66,100,121,A,-t
09526,2454679.93208,2008 Aug 01,10:22:12,66,106,126,T,-p
09527,2454857.83316,2009 Jan 26,07:59:45,66,112,131,A,-n
09528,2455034.60862,2009 Jul 22,02:36:25,66,118,136,T,nn
09529,2455211.79698,2010 Jan 15,07:07:39,67,124,141,A,p-
09530,2455389.31572,2010 Jul 11,19:34:38,67,130,146,T,p-
09531,2455565.86924,2011 Jan 04,08:51:42,67,136,151,P,t-
09532,2455714.38701,2011 Jun 01,21:17:18,67,141,118,P,-t
09533,2455743.86076,2011 Jul 01,08:39:30,67,142,156,Pb,t-
09534,2455890.76486,2011 Nov 25,06:21:24,68,147,123,P,-t
09535,2456068.49576,2012 May 20,23:53:54,68,153,128,A,-p
09536,2456245.42564,2012 Nov 13,22:12:55,68,159,133,T,-n
09537,2456422.51829,2013 May 10,00:26:20,68,165,138,A,pn
09538,2456600.03306,2013 Nov 03,12:47:36,68,171,143,H3,n-
09539,2456776.75316,2014 Apr 29,06:04:33,69,177,148,A-,t-
09540,2456954.4067,2014 Oct 23,21:45:39,69,183,153,P,t-
09541,2457101.90749,2015 Mar 20,09:46:47,69,188,120,T,-t
09542,2457278.78841,2015 Sep 13,06:55:19,69,194,125,P,-t
09543,2457456.58216,2016 Mar 09,01:58:19,70,200,130,T,-n
09544,2457632.88058,2016 Sep 01,09:08:02,70,206,135,A,-n
09545,2457811.12122,2017 Feb 26,14:54:33,70,212,140,A,n-
09546,2457987.26852,2017 Aug 21,18:26:40,70,218,145,T,p-
09547,2458165.36983,2018 Feb 15,20:52:33,71,224,150,P,t-
09548,2458312.62657,2018 Jul 13,03:02:16,71,229,117,P,-t
09549,2458341.90796,2018 Aug 11,09:47:28,71,230,155,P,t-
09550,2458489.57127,2019 Jan 06,01:42:38,71,235,122,P,-t
09551,2458667.30841,2019 Jul 02,19:24:07,71,241,127,T,-p
09552,2458843.72145,2019 Dec 26,05:18:53,72,247,132,A,-n
09553,2459021.77865,2020 Jun 21,06:41:15,72,253,137,Am,nn
09554,2459198.17684,2020 Dec 14,16:14:39,72,259,142,T,n-
09555,2459375.94661,2021 Jun 10,10:43:07,72,265,147,A,t-
09556,2459552.81572,2021 Dec 04,07:34:38,73,271,152,T,p-
09557,2459700.36292,2022 Apr 30,20:42:36,73,276,119,P,-t
09558,2459877.95926,2022 Oct 25,11:01:20,73,282,124,P,-t
09559,2460054.67912,2023 Apr 20,04:17:56,73,288,129,H,-n
09560,2460232.25047,2023 Oct 14,18:00:41,74,294,134,A,-p
09561,2460409.26284,2024 Apr 08,18:18:29,74,300,139,T,n-
09562,2460586.28209,2024 Oct 02,18:46:13,74,306,144,A,p-
09563,2460763.95042,2025 Mar 29,10:48:36,75,312,149,P,t-
09564,2460940.32157,2025 Sep 21,19:43:04,75,318,154,P,t-
09565,2461089.0091,2026 Feb 17,12:13:06,75,323,121,A,-t
09566,2461265.24104,2026 Aug 12,17:47:06,75,329,126,T,-p
09567,2461443.16722,2027 Feb 06,16:00:48,76,335,131,A,-n
09568,2461619.92211,2027 Aug 02,10:07:50,76,341,136,T,nn
09569,2461797.13124,2028 Jan 26,15:08:59,76,347,141,A,p-
09570,2461974.62269,2028 Jul 22,02:56:40,77,353,146,T,p-
09571,2462151.21792,2029 Jan 14,17:13:48,77,359,151,P,t-
09572,2462299.67098,2029 Jun 12,04:06:13,77,364,118,P,-t
09573,2462329.15091,2029 Jul 11,15:37:19,77,365,156,P,t-
09574,2462476.12775,2029 Dec 05,15:03:58,77,370,123,P,-t
09575,2462653.77029,2030 Jun 01,06:29:13,78,376,128,A,-p
09576,2462830.78584,2030 Nov 25,06:51:37,78,382,133,T,-n
09577,2463007.80282,2031 May 21,07:16:04,78,388,138,A,nn
09578,2463185.38022,2031 Nov 14,21:07:31,79,394,143,H,n-
09579,2463362.06021,2032 May 09,13:26:42,79,400,148,A,t-
09580,2463539.73209,2032 Nov 03,05:34:13,79,406,153,P,t-
09581,2463687.25181,2033 Mar 30,18:02:36,80,411,120,T,-t
09582,2463864.07953,2033 Sep 23,13:54:31,80,417,125,P,-t
09583,2464041.92969,2034 Mar 20,10:18:45,80,423,130,T,-n
09584,2464218.18019,2034 Sep 12,16:19:28,81,429,135,A,-p
09585,2464396.46243,2035 Mar 09,23:05:54,81,435,140,A,n-
09586,2464572.58109,2035 Sep 02,01:56:46,81,441,145,T,p-
09587,2464750.69918,2036 Feb 27,04:46:49,82,447,150,P,t-
09588,2464897.93896,2036 Jul 23,10:32:06,82,452,117,P,-t
09589,2464927.22622,2036 Aug 21,17:25:45,82,453,155,P,t-
09590,2465074.90897,2037 Jan 16,09:48:55,82,458,122,P,-t
09591,2465252.61153,2037 Jul 13,02:40:36,83,464,127,T,-p
09592,2465429.07443,2038 Jan 05,13:47:11,83,470,132,A,-n
09593,2465607.06453,2038 Jul 02,13:32:55,84,476,137,A,nn
09594,2465783.54178,2038 Dec 26,01:00:10,84,482,142,T,n-
09595,2465961.21729,2039 Jun 21,17:12:54,84,488,147,A,p-
09596,2466138.18317,2039 Dec 15,16:23:46,85,494,152,T,p-
09597,2466285.65488,2040 May 11,03:43:02,85,499,119,P,-t
09598,2466463.29794,2040 Nov 04,19:09:02,85,505,124,P,-t
09599,2466639.99469,2041 Apr 30,11:52:21,86,511,129,T,-p
09600,2466817.56692,2041 Oct 25,01:36:22,86,517,134,A,-p
09601,2466994.59549,2042 Apr 20,02:17:30,86,523,139,T,n-
09602,2467171.58382,2042 Oct 14,02:00:42,87,529,144,A,n-
09603,2467349.29015,2043 Apr 09,18:57:49,87,535,149,T+,t-
09604,2467525.62626,2043 Oct 03,03:01:49,88,541,154,A-,t-
09605,2467674.35045,2044 Feb 28,20:24:39,88,546,121,As,-t
09606,2467850.5535,2044 Aug 23,01:17:02,88,552,126,T,-t
09607,2468028.4973,2045 Feb 16,23:56:07,89,558,131,A,-n
09608,2468205.23795,2045 Aug 12,17:42:39,89,564,136,T,-n
09609,2468382.4628,2046 Feb 05,23:06:26,90,570,141,A,p-
09610,2468559.9314,2046 Aug 02,10:21:13,90,576,146,T,p-
09611,2468736.56479,2047 Jan 26,01:33:18,90,582,151,P,t-
09612,2468884.95314,2047 Jun 23,10:52:31,91,587,118,P,-t
09613,2468914.44186,2047 Jul 22,22:36:17,91,588,156,P,t-
09614,2469061.49319,2047 Dec 16,23:50:12,91,593,123,P,-t
09615,2469239.04089,2048 Jun 11,12:58:53,92,599,128,A,-p
09616,2469416.14962,2048 Dec 05,15:35:27,92,605,133,T,-n
09617,2469593.08332,2049 May 31,13:59:59,92,611,138,A,nn
09618,2469770.73181,2049 Nov 25,05:33:48,93,617,143,H,n-
09619,2469947.36308,2050 May 20,20:42:50,94,623,148,H,t-
09620,2470125.06311,2050 Nov 14,13:30:53,95,629,153,P,t-
09621,2470272.59073,2051 Apr 11,02:10:39,95,634,120,P,-t
09622,2470449.37655,2051 Oct 04,21:02:14,96,640,125,P,-t
09623,2470627.27214,2052 Mar 30,18:31:53,97,646,130,T,-n
09624,2470803.48553,2052 Sep 22,23:39:10,98,652,135,A,-p
09625,2470981.79744,2053 Mar 20,07:08:19,99,658,140,A,n-
09626,2471157.89872,2053 Sep 12,09:34:09,100,664,145,T,n-
09627,2471336.02338,2054 Mar 09,12:33:40,101,670,150,P,t-
09628,2471483.2528,2054 Aug 03,18:04:02,102,675,117,Pe,-t
09629,2471512.54831,2054 Sep 02,01:09:34,102,676,155,P,t-
09630,2471660.24589,2055 Jan 27,17:54:05,103,681,122,P,-t
09631,2471837.91516,2055 Jul 24,09:57:50,104,687,127,T,-p
09632,2472014.4283,2056 Jan 16,22:16:45,105,693,132,A,-n
09633,2472192.3486,2056 Jul 12,20:21:59,106,699,137,A,nn
09634,2472368.90824,2057 Jan 05,09:47:52,107,705,142,T,n-
09635,2472546.48628,2057 Jul 01,23:40:15,108,711,147,A,p-
09636,2472723.55179,2057 Dec 26,01:14:35,109,717,152,T,p-
09637,2472870.94404,2058 May 22,10:39:25,110,722,119,P,-t
09638,2472900.5136,2058 Jun 21,00:19:35,110,723,157,Pb,t-
09639,2473048.64105,2058 Nov 16,03:23:07,111,728,124,P,-t
09640,2473225.30713,2059 May 11,19:22:16,112,734,129,T,-p
09641,2473402.88767,2059 Nov 05,09:18:15,113,740,134,A,-p
09642,2473579.92361,2060 Apr 30,10:10:00,114,746,139,T,n-
09643,2473756.89178,2060 Oct 24,09:24:10,115,752,144,A,nn
09644,2473934.62279,2061 Apr 20,02:56:49,116,758,149,T,t-
09645,2474110.939,2061 Oct 13,10:32:10,117,764,154,A,t-
09646,2474259.68491,2062 Mar 11,04:26:16,118,769,121,P,-t
09647,2474435.87115,2062 Sep 03,08:54:27,119,775,126,P,-t
09648,2474613.82188,2063 Feb 28,07:43:30,120,781,131,A,-p
09649,2474790.55707,2063 Aug 24,01:22:11,121,787,136,T,-n
09650,2474967.79193,2064 Feb 17,07:00:23,122,793,141,A,p-
09651,2475145.24035,2064 Aug 12,17:46:06,123,799,146,T,p-
09652,2475321.91141,2065 Feb 05,09:52:26,124,805,151,P,t-
09653,2475470.23185,2065 Jul 03,17:33:52,125,810,118,P,-t
09654,2475499.73214,2065 Aug 02,05:34:17,125,811,156,P,t-
09655,2475646.86106,2065 Dec 27,08:39:56,126,816,123,P,-t
09656,2475824.30958,2066 Jun 22,19:25:48,127,822,128,A,-p
09657,2476001.51644,2066 Dec 17,00:23:40,128,828,133,T,-n
09658,2476178.3628,2067 Jun 11,20:42:26,129,834,138,A,nn
09659,2476356.08591,2067 Dec 06,14:03:43,130,840,143,H,n-
09660,2476532.66434,2068 May 31,03:56:39,131,846,148,T,p-
09661,2476710.39757,2068 Nov 24,21:32:30,132,852,153,P,t-
09662,2476857.92441,2069 Apr 21,10:11:09,133,857,120,P,-t
09663,2476887.24535,2069 May 20,17:53:18,133,858,158,Pb,t-
09664,2477034.68051,2069 Oct 15,04:19:56,134,863,125,P,-t
09665,2477212.60844,2070 Apr 11,02:36:09,135,869,130,T,-n
09666,2477388.79788,2070 Oct 04,07:08:57,136,875,135,A,-p
09667,2477567.12576,2071 Mar 31,15:01:06,138,881,140,A,n-
09668,2477743.22255,2071 Sep 23,17:20:28,139,887,145,T,n-
09669,2477921.34064,2072 Mar 19,20:10:31,140,893,150,P,t-
09670,2478097.87454,2072 Sep 12,08:59:20,141,899,155,T,t-
09671,2478245.58054,2073 Feb 07,01:55:59,142,904,122,P,-t
09672,2478423.21902,2073 Aug 03,17:15:23,143,910,127,T,-t
09673,2478599.78073,2074 Jan 27,06:44:15,144,916,132,A,-n
09674,2478777.63231,2074 Jul 24,03:10:32,145,922,137,A,nn
09675,2478954.27505,2075 Jan 16,18:36:04,146,928,142,T,n-
09676,2479131.75398,2075 Jul 13,06:05:44,147,934,147,A,p-
09677,2479308.92184,2076 Jan 06,10:07:27,148,940,152,T,p-
09678,2479456.23012,2076 Jun 01,17:31:22,149,945,119,P,-t
09679,2479485.78522,2076 Jul 01,06:50:43,149,946,157,P,t-
09680,2479633.98821,2076 Nov 26,11:43:01,150,951,124,P,-t
09681,2479810.61534,2077 May 22,02:46:05,151,957,129,T,-p
09682,2479988.21384,2077 Nov 15,17:07:56,152,963,134,A,-p
09683,2480165.24786,2078 May 11,17:56:55,153,969,139,T,n-
09684,2480342.20537,2078 Nov 04,16:55:44,154,975,144,A,nn
09685,2480519.95154,2079 May 01,10:50:13,155,981,149,T,p-
09686,2480696.25788,2079 Oct 24,18:11:21,156,987,154,A,t-
09687,2480845.01406,2080 Mar 21,12:20:15,157,992,121,P,-t
09688,2481021.19316,2080 Sep 13,16:38:09,158,998,126,P,-t
