Object,MJD,Year,Month,Day,Distance,H,Collide,Distance (km),DiscoveryYear,Warning,Size (m),Size Source,H Source
2012 VJ38,2456245.58,2012,Nov.,14.08,0.001511,-99.0,N,226042.382628,2012.83333333,0.0381187214614,-1.0,?,?
2011 UT,2455847.3,2011,Oct.,12.8,0.001518,-99.0,N,227089.567723,2011.79166667,-0.0113926940646,-1.0,?,?
2013 RG,2456538.93,2013,Sept.,3.43,0.001522,-99.0,N,227687.959205,2013.66666667,0.00848401826534,-1.0,?,?
2002 JE9,2441052.64,1971,Apr.,11.14,0.001537,-99.0,N,229931.927266,2002.33333333,-31.0863744292,-1.0,?,?
2012 EG5,2456018.9,2012,Apr.,1.4,0.00154,23.97,N,230380.720878,2012.16666667,0.083744292237,40.6,I,E
2012 EZ1,2455987.94,2012,Mar.,1.44,0.001549,-99.0,N,231727.101714,2012.16666667,-0.00107762557104,-1.0,?,?
2014 UU56,2475403.08,2065,Apr.,27.58,0.001549,-99.0,N,231727.101714,2014.79166667,50.566086758,-1.0,?,?
2011 SE58,2455831.62,2011,Sept.,27.12,0.001593,-99.0,N,238309.408025,2011.70833333,0.0289817351602,-1.0,?,?
2011 YB63,2455928.9,2012,Jan.,2.4,0.001597,-99.0,N,238907.799508,2011.95833333,0.045502283105,-1.0,?,?
2008 EM68,2454536.14,2008,Mar.,10.64,0.001603,-99.0,N,239805.386732,2008.16666667,0.0213881278542,-1.0,?,?
2009 WJ6,2474879.72,2063,Nov.,21.22,0.001604,-99.0,N,239954.984603,2009.875,54.048890411,-1.0,?,?
2011 EM40,2455628.67,2011,Mar.,8.17,0.001622,-99.0,N,242647.746275,2011.16666667,0.0146210045659,-1.0,?,?
2010 KV7,2471047.12,2053,May,24.62,0.001622,26.0,N,242647.746275,2010.375,43.0486164384,13.0,E,E
2013 RZ53,2456554.45,2013,Sept.,18.95,0.001628,-99.0,N,243545.3335,2013.66666667,0.0510045662104,-1.0,?,?
2010 UY7,2455496.22,2010,Oct.,26.72,0.00163,-99.0,N,243844.529241,2010.79166667,0.0267442922379,-1.0,?,?
2013 RZ53,2423503.77,1923,Mar.,25.27,0.001643,-99.0,N,245789.30156,2013.66666667,-90.498803653,-1.0,?,?
2010 HP20,2455305.37,2010,Apr.,18.87,0.001645,-99.0,N,246088.497301,2010.29166667,0.00386757990896,-1.0,?,?
2007 YV56,2488435.71,2101,Jan.,2.21,0.001654,-99.0,N,247434.878138,2007.95833333,93.1052557078,-1.0,?,?
2011 CA4,2455592.68,2011,Jan.,31.18,0.001655,-99.0,N,247584.476008,2011.08333333,-0.000648401825856,-1.0,?,?
2010 RX30,2455447.91,2010,Sept.,8.41,0.001656,-99.0,N,247734.073879,2010.66666667,0.0193881278542,-1.0,?,?
2014 MH6,2456831.09,2014,June,22.59,0.001656,-99.0,N,247734.073879,2014.45833333,0.0172557077622,-1.0,?,?
2008 TN9,2454743.11,2008,Oct.,3.61,0.001662,-99.0,N,248631.661103,2008.75,0.00509589041053,-1.0,?,?
(153814) 2001 WN5,2461948.72,2028,June,26.22,0.001663,18.3,N,248781.258974,2001.875,26.6214931507,586.0,M,M
1993 HD,2456030.06,2012,Apr.,12.56,0.001669,-99.0,N,249678.846198,1993.29166667,18.9893196347,-1.0,?,?
2010 KV39,2455343.4,2010,May,26.9,0.001673,-99.0,N,250277.237681,2010.375,0.024726027397,-1.0,?,?
2011 EN11,2455623.87,2011,Mar.,3.37,0.001689,-99.0,N,252670.803612,2011.16666667,0.00147031963502,-1.0,?,?
2014 NZ64,2432081.53,1946,Sept.,18.03,0.001695,-99.0,N,253568.390836,2014.5,-67.8314246575,-1.0,?,?
2012 TV,2456208.13,2012,Oct.,7.63,0.001704,25.2,N,254914.771673,2012.75,0.0188493150681,23.0,I,E
2014 SG1,2430988.23,1943,Sept.,20.73,0.001706,-99.0,N,255213.967414,2014.70833333,-71.0351004566,-1.0,?,?
2014 EX24,2443941.85,1979,Mar.,9.35,0.001706,-99.0,N,255213.967414,2014.16666667,-35.0040639269,-1.0,?,?
2011 EB,2487395.35,2098,Feb.,25.85,0.001718,-99.0,N,257009.141863,2011.16666667,87.0466210046,-1.0,?,?
2012 TC4,2458039.11,2017,Oct.,12.61,0.001725,26.7,N,258056.326957,2012.75,5.03523287671,12.2,I,E
2009 TD17,2455109.99,2009,Oct.,5.49,0.001732,-99.0,N,259103.512052,2009.75,0.010246575343,-1.0,?,?
2011 YC63,2455925.59,2011,Dec.,30.09,0.00174,-99.0,N,260300.295018,2011.95833333,0.0364337899541,-1.0,?,?
2014 DK10,2456709.98,2014,Feb.,21.48,0.00174,-99.0,N,260300.295018,2014.125,0.0187808219177,-1.0,?,?
2014 UU56,2456949.96,2014,Oct.,19.46,0.001744,-99.0,N,260898.686501,2014.79166667,0.00959360730576,-1.0,?,?
2014 EX24,2456726.11,2014,Mar.,9.61,0.00176,-99.0,N,263292.252432,2014.16666667,0.0213059360726,-1.0,?,?
2012 TC4,2450368.34,1996,Oct.,11.84,0.001765,26.7,N,264040.241785,2012.75,-15.9805753425,12.2,I,E
2009 JL2,2454965.4,2009,May,13.9,0.001774,-99.0,N,265386.622622,2009.33333333,0.0307762557077,-1.0,?,?
2011 EX4,2513685.6,2170,Feb.,19.1,0.001774,-99.0,N,265386.622622,2011.16666667,159.074703196,-1.0,?,?
2010 SK13,2455470.17,2010,Sept.,30.67,0.001776,-99.0,N,265685.818363,2010.70833333,0.0387077625569,-1.0,?,?
2011 UL169,2455860.6,2011,Oct.,26.1,0.001784,-99.0,N,266882.601329,2011.79166667,0.0250456621006,-1.0,?,?
2012 AQ,2455924.86,2011,Dec.,29.36,0.001797,-99.0,N,268827.373648,2012.0,-0.00723287671258,-1.0,?,?
2012 KP24,2429412.79,1939,May,29.29,0.001802,26.4,N,269575.363001,2012.375,-73.0180410959,13.8,I,E
2014 OM207,2456863.78,2014,July,25.28,0.001804,-99.0,N,269874.558743,2014.54166667,0.0234840182643,-1.0,?,?
2013 UR1,2456587.43,2013,Oct.,21.93,0.001821,-99.0,N,272417.722545,2013.79166667,0.016360730594,-1.0,?,?
2013 ED68,2447602.16,1989,Mar.,16.66,0.001823,-99.0,N,272716.918286,2013.16666667,-23.9758173516,-1.0,?,?
2010 VB1,2428173.95,1936,Jan.,6.45,0.001837,-99.0,N,274811.288476,2010.83333333,-74.870456621,-1.0,?,?
2012 XL134,2456277.15,2012,Dec.,15.65,0.001846,-99.0,N,276157.669312,2012.91666667,0.0412785388125,-1.0,?,?
2013 CL129,2456335.03,2013,Feb.,11.53,0.001855,-99.0,N,277504.050149,2013.08333333,0.0331872146114,-1.0,?,?
2008 HU4,2490485.57,2106,Aug.,14.07,0.001869,-99.0,N,279598.420338,2008.29166667,98.3879771689,-1.0,?,?
2013 XY8,2486588.38,2095,Dec.,11.88,0.001872,25.0,N,280047.21395,2013.91666667,82.0857442922,25.0,I,E
