Name,RA,Dec,AVM code,AVM description,Source
NGC 3496,164.9000000,-60.3367000,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 3497,166.8252417,-19.4715444,5.3.2.4;5.1.3,Lenticular Galaxy,Simbad
NGC 3498,165.4257875,14.3507139,3.6,Three stars,DSObrowser
NGC 3499,165.7962792,56.2216639,5.5.2;5.1.3,Lenticular Galaxy,Simbad
NGC 3500,164.8802333,75.1912306,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 3501,165.6971125,17.9895306,5.5.1;5.1.1,Spiral Galaxy,Simbad
NGC 3502,165.5842750,-14.1362750,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3503,165.3162500,-59.8441694,4.2.2,Reflection Nebula,Simbad
NGC 3504,165.7966292,27.9724361,5.3.2.4,LINER-type Active Galaxy Nucleus,Simbad
NGC 3505,165.7486250,-16.2894444,5,G,NED*
NGC 3506,165.8039542,11.0767583,5.5.3;5.1.1,Spiral Galaxy,Simbad
NGC 3507,165.8558208,18.1353444,5.5.1;5.1.2,Barred Galaxy,Simbad
NGC 3508,165.7486250,-16.2894500,5;5.1.1,Spiral Galaxy,Simbad
NGC 3509,166.0982042,4.8285750,5.1.7,Interacting Galaxies,Simbad
NGC 3510,165.9306500,28.8871056,5;5.1.2,Barred Galaxy,Simbad
NGC 3511,165.8490292,-23.0867889,5.3.2.2;5.1.1,Spiral Galaxy,Simbad
NGC 3512,166.0124500,28.0368306,5.3.2;5.1.1,Spiral Galaxy,Simbad
NGC 3513,165.9420000,-23.2454806,5;5.1.2,Barred Galaxy,Simbad
NGC 3514,165.9995750,-18.7805944,5;5.1.1,Spiral Galaxy,Simbad
NGC 3515,166.1552125,28.2278889,5;5.1.1,Spiral Galaxy,Simbad
NGC 3516,166.6978917,72.5685278,5.3.2.2;5.1.2,Barred Galaxy,Simbad
NGC 3517,166.4034875,56.5249111,5.5.1,Pair of Galaxies,Simbad
NGC 3518,151.0088500,-6.4747556,5,HII Galaxy,Simbad
NGC 3519,166.0400000,-61.3750000,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 3520,166.5666042,-18.2591083,5;5.1.1,Spiral Galaxy,Simbad
NGC 3521,166.4524708,-0.0359000,5,Low Surface Brightness Galaxy,Simbad
NGC 3522,166.6685500,20.0856222,5.5.2;5.1.4,Elliptical Galaxy,Simbad
NGC 3523,165.7763500,75.1157667,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 3524,166.6337875,11.3853056,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 3525,166.8252417,-19.4715444,5.3.2.4;5.1.3,Lenticular Galaxy,Simbad
NGC 3526,166.7359292,7.1739222,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3527,166.8258375,28.5277667,5.5.2;5.1.2,Barred Galaxy,Simbad
NGC 3528,166.8252417,-19.4715444,5.3.2.4;5.1.3,Lenticular Galaxy,Simbad
NGC 3529,166.8296500,-19.5557111,5;5.1.1,Spiral Galaxy,Simbad
NGC 3530,167.1684125,57.2301611,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3531,166.7359292,7.1739222,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3532,166.4125000,-58.7533000,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 3533,166.7814042,-37.1726139,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 3534,167.2320417,26.6103444,5,Galaxy,Simbad
NGC 3535,167.1412667,4.8318250,5,Galaxy,Simbad
NGC 3536,167.2132250,28.4756111,5.5.2;5.1.2,Barred Galaxy,Simbad
NGC 3537,167.1341417,-10.4918500,5;5.1.3,Lenticular Galaxy,Simbad
NGC 3538,167.8930708,75.5697111,3.6.3,,NED*
NGC 3539,167.2868333,28.6725833,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3540,167.3171708,36.0211750,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3541,167.1889500,-10.9640750,5,Emission-line galaxy,Simbad
NGC 3542,167.4809875,36.9465333,5,Radio Galaxy,Simbad
NGC 3543,167.7353500,61.3473000,5,Galaxy,Simbad
NGC 3544,167.8768750,-18.2894167,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 3545,167.5509167,36.9646667,5.5.1;5.1.4,Elliptical Galaxy,Simbad
NGC 3546,167.4448708,-13.3805806,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3547,167.4831250,10.7207389,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3548,167.3170083,36.0210861,;5.1.2,Barred Galaxy,Simbad
NGC 3549,167.7371042,53.3876611,5;5.1.1,Spiral Galaxy,Simbad
NGC 3550,167.6594167,28.7672778,5.1.7;5.1.1,Spiral Galaxy,Simbad
NGC 3551,167.4350417,21.7587944,5;5.5.3;5.1.4,Elliptical Galaxy,Simbad
NGC 3552,167.6785125,28.6930056,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3553,167.6680583,28.6855028,5.5.2;5.2.2,Dwarf Galaxy,Simbad
NGC 3554,167.6994000,28.6602250,5;5.1.4,Elliptical Galaxy,Simbad
NGC 3555,167.4595625,21.8101833,5.5.3,Galaxy in Cluster of Galaxies,Simbad
NGC 3556,167.8790292,55.6741222,5.3.3;5.1.2,Barred Galaxy,Simbad
