Name,RA,Dec,AVM code,AVM description,Source
NGC 5728,220.5997000,-17.2531694,5.3.2.2;5.1.2,Barred Galaxy,Simbad
NGC 5729,220.5286875,-9.0094389,5,Galaxy,Simbad
NGC 5730,219.9674542,42.7423389,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 5731,220.0380833,42.7791083,5.3.2,Active Galaxy Nucleus,Simbad
NGC 5732,220.1624750,38.6376944,5,Galaxy,Simbad
NGC 5733,220.6912542,-0.3513694,5,Emission-line galaxy,Simbad
NGC 5734,221.2877208,-20.8705028,5;5.1.1,Spiral Galaxy,Simbad
NGC 5735,220.6385333,28.7263139,5,Emission-line galaxy,Simbad
NGC 5736,220.8784167,11.2027722,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 5737,220.7991625,18.8799861,5.5.2;5.1.2,Barred Galaxy,Simbad
NGC 5738,220.9849083,1.6040444,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5739,220.6202250,41.8422694,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5740,221.1017625,1.6796917,5,Emission-line galaxy,Simbad
NGC 5741,221.4655458,-11.9140917,5,Galaxy,Simbad
NGC 5742,221.4036708,-11.8096500,5,Galaxy,Simbad
NGC 5743,221.2957625,-20.9135583,5;5.1.1,Spiral Galaxy,Simbad
NGC 5744,220.9827250,-18.4838972,5;5.1.1,Spiral Galaxy,Simbad
NGC 5745,221.2579208,-13.9472056,5.5.2,Group of Galaxies,Simbad
NGC 5746,221.2333542,1.9547389,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 5747,221.0866542,12.1319889,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 5748,221.2711792,21.9162167,5,Galaxy,Simbad
NGC 5749,222.2250000,-54.5000000,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 5750,221.5462667,-0.2230528,5.3.2;5.1.2,Barred Galaxy,Simbad
NGC 5751,220.9550792,53.4008556,5;5.1.1,Spiral Galaxy,Simbad
NGC 5752,221.3087917,38.7287833,5,Radio Galaxy,Simbad
NGC 5753,221.3286458,38.8057444,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 5754,221.3319417,38.7313000,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5755,221.3521875,38.7799250,5.1.7;5.1.2,Barred Galaxy,Simbad
NGC 5756,221.8904583,-14.8535806,5;5.1.1,Spiral Galaxy,Simbad
NGC 5757,221.9432083,-19.0785444,5.3.2;5.1.2,Barred Galaxy,Simbad
NGC 5758,221.7587875,13.6682417,5.3.2;5.1.4,Elliptical Galaxy,Simbad
NGC 5759,221.8119958,13.4563139,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5760,221.9260417,18.5020722,5;5.1.1,Spiral Galaxy,Simbad
NGC 5761,222.2853542,-20.3760139,5.5.2;5.1.4,Elliptical Galaxy,Simbad
NGC 5762,222.1773375,12.4570806,5,Galaxy,Simbad
NGC 5763,222.2446000,12.4902306,5,Galaxy,Simbad
NGC 5764,223.3870000,-52.6730000,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 5765,222.7100000,5.1158306,5.3.2.2,Seyfert 2 Galaxy,Simbad
NGC 5766,223.2898083,-21.3941639,5;5.1.1,Spiral Galaxy,Simbad
NGC 5767,222.3932792,47.3761889,5,Galaxy,Simbad
NGC 5768,223.0331125,-2.5297139,5,Emission-line galaxy,Simbad
NGC 5769,223.1731125,7.9318278,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5770,223.3126542,3.9597222,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5771,223.0597833,29.8454833,5.5.1;5.1.4,Elliptical Galaxy,Simbad
NGC 5772,222.9118667,40.5992250,5,Radio Galaxy,Simbad
NGC 5773,223.1267417,29.8072139,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 5774,223.4281458,3.5822417,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 5775,223.4902208,3.5444722,5.5.1;5.1.1,Spiral Galaxy,Simbad
NGC 5776,223.6364583,2.9665667,5;5.5.3,Brightest galaxy in a Cluster (BCG),Simbad
NGC 5777,222.8241583,58.9778111,5,Galaxy,Simbad
NGC 5778,223.6311042,18.6423806,5;5.5.3;5.1.4,Elliptical Galaxy,Simbad
NGC 5779,223.0397042,55.8994861,5,Galaxy,Simbad
NGC 5780,223.5945292,28.9396389,5.3.3;5.1.1,Spiral Galaxy,Simbad
NGC 5781,224.1717208,-17.2439694,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5782,223.7437125,11.6990667,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5783,223.3683292,52.0758306,5,Galaxy,Simbad
NGC 5784,223.5685750,42.5577694,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5785,223.3683292,52.0758306,5,Galaxy,Simbad
NGC 5786,224.7343917,-42.0134083,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 5787,223.8150625,42.5068556,5,G,NED*
NGC 5788,223.3205708,52.0442056,5;5.1.2,Barred Galaxy,Simbad
NGC 5789,224.1471042,30.2345694,5,Emission-line galaxy,Simbad
NGC 5790,224.3992625,8.2852306,5;5.1.3,Lenticular Galaxy,Simbad
NGC 5791,224.6925958,-19.2668444,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 5792,224.5946208,-1.0910806,5,Emission-line galaxy,Simbad
NGC 5793,224.8533625,-16.6934861,5.3.2.2;5.1.1,Spiral Galaxy,Simbad
NGC 5794,223.9732208,49.7261667,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5795,224.0828417,49.4002083,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5796,224.8504792,-16.6240417,5.5.2;5.1.4,Elliptical Galaxy,Simbad
NGC 5797,224.1002667,49.6960444,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5798,224.4081875,29.9684944,5,Emission-line galaxy,Simbad
NGC 5799,226.3965917,-72.4328778,5;5.1.1,Spiral Galaxy,Simbad
NGC 5800,225.4458292,-51.9183306,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 5801,225.1080625,-13.9043222,5,Galaxy,Simbad
NGC 5802,225.1249375,-13.9187667,5,Galaxy,Simbad
NGC 5803,225.1438292,-13.8943194,5,Galaxy,Simbad
NGC 5804,224.2783875,49.6690139,5.3.2,Active Galaxy Nucleus,Simbad
NGC 5805,223.9645792,49.6475000,5,Galaxy,Simbad
NGC 5806,225.0018000,1.8912667,5.3.2,Active Galaxy Nucleus,Simbad
NGC 5807,223.9528667,63.9034083,5,Galaxy,Simbad
NGC 5808,223.5117083,73.1316944,5,G,NED*
NGC 5809,225.2181083,-14.1651750,5,Emission-line galaxy,Simbad
NGC 5810,225.6781000,-17.8680444,5;5.1.1,Spiral Galaxy,Simbad
NGC 5811,225.1141958,1.6233861,5.5.1;5.2.2,Dwarf Galaxy,Simbad
NGC 5812,225.2321167,-7.4573139,5.5.1;5.1.4,Elliptical Galaxy,Simbad
NGC 5813,225.2969375,1.7019694,5.3.2.4;5.1.4,Elliptical Galaxy,Simbad
NGC 5814,225.3382583,1.6370833,5;5.1.1,Spiral Galaxy,Simbad
NGC 5815,225.1220542,-16.8343194,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5816,225.0202500,-16.0936417,;5.1.3,Lenticular Galaxy,Simbad
NGC 5817,224.9202875,-16.1804306,5,Galaxy,Simbad
NGC 5818,224.7431333,49.8213639,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5819,223.5118875,73.1316611,5;5.1.2,Barred Galaxy,Simbad
NGC 5820,224.6659250,53.8861167,5.1.7,Interacting Galaxies,Simbad
NGC 5821,224.7488417,53.9231694,5.5.1;5.1.3,Lenticular Galaxy,Simbad
NGC 5822,226.1180000,-54.3900000,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 5823,226.3800000,-55.5950000,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 5824,225.9942167,-33.0685278,3.6.4.2,Globular Cluster,Simbad
NGC 5825,223.6311042,18.6423806,5;5.5.3;5.1.4,Elliptical Galaxy,Simbad
NGC 5826,226.6404208,55.4794389,5,Galaxy,Simbad
NGC 5827,225.4740000,25.9646389,5.3.2,Active Galaxy Nucleus,Simbad
NGC 5828,225.1919708,49.9938694,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5829,225.6750208,23.3336194,5.1.7,Interacting Galaxies,Simbad
NGC 5830,225.4622500,47.8755000,5,Radio Galaxy,Simbad
NGC 5831,226.0292667,1.2199167,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5832,224.4412500,71.6815278,5;5.1.2,Barred Galaxy,Simbad
NGC 5833,227.9733583,-72.8594278,5;5.1.1,Spiral Galaxy,Simbad
NGC 5834,225.9943167,-33.0681306,3.6.4.2,Globular cluster,DSObrowser
NGC 5835,225.6056833,48.8775889,5,Galaxy,Simbad
NGC 5836,224.8791667,73.8932889,5;5.1.2,Barred Galaxy,Simbad
NGC 5837,226.1691000,12.6335444,5,Radio Galaxy,Simbad
NGC 5838,226.3594667,2.0993556,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5839,226.3644708,1.6346333,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5840,0.0000000,0.0000000,5,Galaxy,Simbad
NGC 5841,226.6460708,2.0048028,5.5.2;5.1.3,Lenticular Galaxy,Simbad
NGC 5842,226.2166000,21.0693722,5,Radio Galaxy,Simbad
NGC 5843,226.8662250,-36.3273806,5;5.1.2,Barred Galaxy,Simbad
NGC 5844,227.6697708,-64.6745722,4.1.3,Planetary Nebula,Simbad
NGC 5845,226.5032792,1.6338250,5.5.2;5.1.4,Elliptical Galaxy,Simbad
NGC 5846,226.6218875,1.6056361,5;5.5.3;5.1.4,Elliptical Galaxy,Simbad
NGC 5847,226.5928042,6.3798889,5,Galaxy,Simbad
NGC 5848,226.6460708,2.0048028,5.5.2;5.1.3,Lenticular Galaxy,Simbad
NGC 5849,226.7111667,-14.5718278,5.3.2.4,LINER-type Active Galaxy Nucleus,Simbad
NGC 5850,226.7819833,1.5442806,5;5.1.2,Barred Galaxy,Simbad
NGC 5851,226.7225208,12.8587639,5.3.2.4,LINER-type Active Galaxy Nucleus,Simbad
NGC 5852,226.7350625,12.8468222,5.3.2,Active Galaxy Nucleus,Simbad
NGC 5853,226.4721375,39.5221861,5.5.2;5.1.2,Barred Galaxy,Simbad
NGC 5854,226.9488542,2.5685611,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5855,226.9543167,3.9841167,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5856,226.8342833,18.4424528,3.6.3,,NED*
NGC 5857,226.8638292,19.5975667,5.5.1;5.1.1,Spiral Galaxy,Simbad
NGC 5858,227.2047750,-11.2077806,5.5.2;5.1.4,Elliptical Galaxy,Simbad
NGC 5859,226.8947917,19.5822806,5;5.1.2,Barred Galaxy,Simbad
NGC 5860,226.6405417,42.6414444,5,Emission-line galaxy,Simbad
NGC 5861,227.3170458,-11.3216611,5.3.2.2;5.1.1,Spiral Galaxy,Simbad
NGC 5862,226.5139000,55.5740306,5,Galaxy,Simbad
NGC 5863,227.7014625,-18.4309778,5.5.1;5.1.1,Spiral Galaxy,Simbad
NGC 5864,227.3897875,3.0527417,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5865,227.4560542,0.4699667,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 5866,226.6231708,55.7633083,5.3.2.2,Seyfert Galaxy,Simbad
NGC 5867,226.6013417,55.7315861,5,G,NED*
NGC 5868,227.4549250,0.5296889,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 5869,227.4560542,0.4699667,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 5870,226.6404208,55.4794389,5,Galaxy,Simbad
NGC 5871,227.5199583,0.4980083,3,*,NED*
NGC 5872,227.7320250,-11.4799333,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5873,228.2127167,-38.1260139,4.1.3,Planetary Nebula,Simbad
NGC 5874,226.9658375,54.7527111,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5875,227.3050083,52.5283056,5.3.2,Active Galaxy Nucleus,Simbad
NGC 5876,227.3815292,54.5063500,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5877,228.2211167,-4.9272083,3.6.3,,NED*
NGC 5878,228.4403833,-14.2697806,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 5879,227.4447958,57.0002111,5.3.2,Active Galaxy Nucleus,Simbad
NGC 5880,228.7548083,-14.5788250,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5881,227.6590417,64.8986361,5,Galaxy,Simbad
NGC 5882,229.2080750,-45.6495694,4.1.3,Planetary Nebula,Simbad
NGC 5883,228.7924208,-14.6168722,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5884,228.2880458,31.8610583,3.6.3,,NED*
NGC 5885,228.7672875,-10.0861528,5;5.1.2,Barred Galaxy,Simbad
NGC 5886,228.1892250,41.2335611,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5887,228.6832875,1.1541972,5,Galaxy,Simbad
NGC 5888,228.2807458,41.2646278,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5889,228.3154750,41.3279694,5;5.1.1,Spiral Galaxy,Simbad
NGC 5890,229.4632250,-17.5892972,5,Emission-line galaxy,Simbad
NGC 5891,229.0556792,-11.4942139,5,Galaxy,Simbad
NGC 5892,228.4508833,-15.4636694,5,Emission-line galaxy,Simbad
NGC 5893,228.3923667,41.9588472,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5894,227.9205625,59.8088222,5;5.1.1,Spiral Galaxy,Simbad
NGC 5895,228.4582500,42.0073889,5.5.1,Pair of Galaxies,Simbad
NGC 5896,228.4612125,42.0242222,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 5897,229.3516667,-21.0101111,3.6.4.2,Globular Cluster,Simbad
NGC 5898,229.5564750,-24.0979611,5.5.2;5.1.4,Elliptical Galaxy,Simbad
NGC 5899,228.7635500,42.0498528,5.3.2.2,Seyfert 2 Galaxy,Simbad
NGC 5900,228.7709042,42.2098528,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 5901,228.7608333,42.2280556,3,*,NED*
NGC 5902,228.5932625,50.3296083,5.3.2.4,LINER-type Active Galaxy Nucleus,Simbad
NGC 5903,229.6522042,-24.0685944,5.5.2;5.1.4,Elliptical Galaxy,Simbad
NGC 5904,229.6384167,2.0810278,3.6.4.2,Globular Cluster,Simbad
NGC 5905,228.8471833,55.5171083,5;5.1.2,Barred Galaxy,Simbad
NGC 5906,228.9736958,56.3288500,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5907,228.9736958,56.3288500,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5908,229.1800833,55.4092472,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5909,227.8682250,75.3838361,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 5910,229.8530417,20.8962722,5;5.1.4,Elliptical Galaxy,Simbad
NGC 5911,230.0759125,3.5183972,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 5912,227.9210667,75.3849167,5.5.1;5.1.4,Elliptical Galaxy,Simbad
NGC 5913,230.2309875,-2.5780361,5,Emission-line galaxy,Simbad
NGC 5914,229.6827542,41.8654278,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5915,230.3878167,-13.0917278,5.5.1;5.1.2,Barred Galaxy,Simbad
NGC 5916,230.4080792,-13.1692250,5.5.1;5.1.2,Barred Galaxy,Simbad
NGC 5917,230.3856958,-7.3771250,5,Galaxy,Simbad
NGC 5918,229.8552875,45.8803861,5,Radio Galaxy,Simbad
NGC 5919,230.4036083,7.7194250,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5920,230.4661250,7.7088806,5;5.5.3,Brightest galaxy in a Cluster (BCG),Simbad
NGC 5921,230.4856708,5.0705389,5;5.1.2,Barred Galaxy,Simbad
NGC 5922,230.2879167,41.6705556,3.6.3,,NED*
NGC 5923,230.3094000,41.7259472,5.5.2;5.1.2,Barred Galaxy,Simbad
NGC 5924,230.5081958,31.2330000,5.5.3;5.1.1,Spiral Galaxy,Simbad
NGC 5925,231.8610000,-54.5343500,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 5926,230.8538375,12.7153389,5;5.1.1,Spiral Galaxy,Simbad
NGC 5927,232.0028750,-50.6730278,3.6.4.2,Globular Cluster,Simbad
NGC 5928,231.5121167,18.0737139,5.5.1;5.1.3,Lenticular Galaxy,Simbad
NGC 5929,231.5256500,41.6706583,5.3.2.4,LINER-type Active Galaxy Nucleus,Simbad
NGC 5930,231.5332792,41.6760889,5.1.7,Interacting Galaxies,Simbad
NGC 5931,232.3733375,7.5733056,5,Galaxy,Simbad
NGC 5932,231.7007917,48.6148444,5.3.2,Active Galaxy Nucleus,Simbad
NGC 5933,231.7562417,48.6131778,5,Galaxy,Simbad
NGC 5934,232.0531750,42.9298444,5;5.1.1,Spiral Galaxy,Simbad
NGC 5935,232.0694875,42.9440194,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 5936,232.5035250,12.9893194,5;5.1.2,Barred Galaxy,Simbad
NGC 5937,232.6922292,-2.8295333,5,Emission-line galaxy,Simbad
NGC 5938,234.1094500,-66.8597500,5;5.1.4,Elliptical Galaxy,Simbad
NGC 5939,231.1918625,68.7305917,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5940,232.8254542,7.4576917,5.3.2.2,Seyfert 1 Galaxy,Simbad
NGC 5941,232.9033792,7.3124250,5.5.2;5.1.4,Elliptical Galaxy,Simbad
NGC 5942,232.9257958,7.2874222,5.5.3;5.1.4,Elliptical Galaxy,Simbad
NGC 5943,232.4337292,42.7778889,5.3.2.1,Possible Quasar,Simbad
NGC 5944,232.9481958,7.3082500,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 5945,232.4375000,42.9187194,5,Emission-line galaxy,Simbad
NGC 5946,233.8690833,-50.6597222,3.6.4.2,Globular Cluster,Simbad
NGC 5947,232.6523458,42.7171889,5.3.2,Active Galaxy Nucleus,Simbad
NGC 5948,233.2443167,3.9828306,3.6.3,,NED*
NGC 5949,232.0027917,64.7631528,5;5.1.1,Spiral Galaxy,Simbad
NGC 5950,232.8784333,40.4301444,5,Galaxy,Simbad
NGC 5951,233.4294583,15.0072944,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 5952,233.7351250,4.9588056,5.5.2;5.1.3,Lenticular Galaxy,Simbad
NGC 5953,233.6350083,15.1938333,5.3.2;5.1.3,Lenticular Galaxy,Simbad
NGC 5954,233.6465625,15.1982417,5.3.2.4;5.1.1,Spiral Galaxy,Simbad
NGC 5955,233.8020792,5.0628667,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 5956,233.7437750,11.7503583,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 5957,233.8468333,12.0475111,5.3.2,Active Galaxy Nucleus,Simbad
NGC 5958,233.7046792,28.6551194,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5959,234.3434917,-16.5957972,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5960,234.0766458,5.6652361,5,Radio Galaxy,Simbad
NGC 5961,233.8185875,30.8640889,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 5962,234.1318500,16.6078944,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 5963,233.3657917,56.5593806,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5964,234.4015833,5.9735833,5;5.1.2,Barred Galaxy,Simbad
NGC 5965,233.5102375,56.6856000,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5966,233.9671333,39.7689472,5.3.2.1;5.1.3,Lenticular Galaxy,Simbad
NGC 5967,237.0665583,-75.6729583,5;5.1.1,Spiral Galaxy,Simbad
NGC 5968,234.9881458,-30.5528056,5.3.2.4;5.1.1,Spiral Galaxy,Simbad
NGC 5969,233.7128583,56.4511139,5,Radio Galaxy,Simbad
NGC 5970,234.6249250,12.1866083,5.5.2;5.1.2,Barred Galaxy,Simbad
NGC 5971,233.9036875,56.4617917,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5972,234.7255875,17.0262278,5.3.2.2;5.1.3,Lenticular Galaxy,Simbad
NGC 5973,235.0644083,-8.6009306,5,Emission-line galaxy,Simbad
NGC 5974,234.7599500,31.7597000,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 5975,234.9915167,21.4708361,5,Radio Galaxy,Simbad
NGC 5976,234.2000750,59.3978611,5,Galaxy,Simbad
NGC 5977,235.1394958,17.1280528,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5978,235.6135250,-13.2343083,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5979,236.9215000,-61.2182222,4.1.3,Planetary Nebula,Simbad
NGC 5980,235.3766500,15.7876917,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5981,234.4727333,59.3917917,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 5982,234.6657417,59.3558917,5.3.2.4;5.1.4,Elliptical Galaxy,Simbad
NGC 5983,235.6900000,8.2411028,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5984,235.7216333,14.2314250,5;5.1.2,Barred Galaxy,Simbad
NGC 5985,234.9045417,59.3319500,5.3.2.2;5.1.1,Spiral Galaxy,Simbad
NGC 5986,236.5125000,-37.7864167,3.6.4.2,Globular Cluster,Simbad
NGC 5987,234.9890917,58.0795472,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5988,236.1409625,10.2932250,5,Galaxy,Simbad
NGC 5989,235.3868708,59.7553194,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 5990,236.5682208,2.4155111,5.3.2.2,Seyfert 2 Galaxy,Simbad
NGC 5991,236.3200375,24.6304028,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5992,236.0894458,41.0864111,5,Galaxy,Simbad
NGC 5993,236.1141500,41.1219611,5.3.2.1,Possible Quasar,Simbad
NGC 5994,236.7219250,17.8727083,5.5.1;5.1.2,Barred Galaxy,Simbad
NGC 5995,237.1038042,-13.7576111,5.3.2.2,Seyfert 2 Galaxy,Simbad
NGC 5996,236.7453000,17.8842167,5.5.1;5.1.2,Barred Galaxy,Simbad
NGC 5997,236.8654333,8.3213056,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 5998,237.4092208,-28.5782167,7.1.2,Asterism,DSObrowser
NGC 5999,238.0430000,-56.4670000,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 6000,237.4564833,-29.3868056,5.3.2;5.1.1,Spiral Galaxy,Simbad
NGC 6001,236.9415000,28.6418528,5,Radio Galaxy,Simbad
NGC 6002,236.9250000,28.6309444,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 6003,237.3567792,19.0319889,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 6004,237.5945583,18.9391028,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 6005,238.9950000,-57.4400000,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 6006,238.2605750,12.0053083,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 6007,238.3465583,11.9591778,5;5.1.1,Spiral Galaxy,Simbad
NGC 6008,238.2334583,21.1004833,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 6009,238.3503125,12.0586639,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 6010,238.5797750,0.5430333,5,Galaxy,Simbad
NGC 6011,236.6371458,72.1691889,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 6012,238.5581042,14.6012389,5,Galaxy,Simbad
NGC 6013,238.2202917,40.6467806,5.3.2;5.1.2,Barred Galaxy,Simbad
NGC 6014,238.9891042,5.9318389,5;5.1.3,Lenticular Galaxy,Simbad
NGC 6015,237.8551333,62.3100306,5;5.1.2,Barred Galaxy,Simbad
NGC 6016,238.9784542,26.9663083,5;5.1.1,Spiral Galaxy,Simbad
NGC 6017,239.3145292,5.9983639,5;5.2.2,Dwarf Galaxy,Simbad
NGC 6018,239.3740833,15.8726028,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 6019,238.0379500,64.8406833,5,Galaxy,Simbad
NGC 6020,239.2838292,22.4045472,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 6021,239.3778250,15.9562139,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 6022,239.4489458,16.2823278,5.3.2,Active Galaxy Nucleus,Simbad
NGC 6023,239.4567583,16.3101028,5.3.2,Active Galaxy Nucleus,Simbad
NGC 6024,238.2829000,64.9180694,5,Galaxy,Simbad
NGC 6025,240.8208000,-60.4317000,3.6.4,Cluster of Stars,Simbad
NGC 6026,240.3380417,-34.5432778,4.1.3,Planetary Nebula,Simbad
NGC 6027,239.8022750,20.7634389,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 6028,240.3707125,19.3598944,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 6029,240.4750000,12.5670000,5,Galaxy,Simbad
NGC 6030,240.4640792,17.9574000,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 6031,241.9642208,-54.0508611,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 6032,240.7546833,20.9559722,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 6033,241.1165917,-2.1209306,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 6034,240.8836792,17.1986972,5,Radio Galaxy,Simbad
NGC 6035,240.8507375,20.8912500,5,Galaxy,Simbad
NGC 6036,241.1280833,3.8686000,5,Radio Galaxy,Simbad
NGC 6037,241.1244667,3.8152667,5.5.1;5.1.1,Spiral Galaxy,Simbad
NGC 6038,240.6689750,37.3594139,5;5.1.1,Spiral Galaxy,Simbad
NGC 6039,241.1100000,17.7425000,5.1.7,Interacting Galaxies,Simbad
NGC 6040,241.1113750,17.7503306,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 6041,241.1489875,17.7214444,5;5.5.3,Brightest galaxy in a Cluster (BCG),Simbad
NGC 6042,241.1647333,17.7008889,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 6043,241.2558333,17.7758333,5.5.1,Pair of Galaxies,Simbad
NGC 6044,241.2487042,17.8702417,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 6045,241.2828667,17.7577472,5.3.2,Active Galaxy Nucleus,Simbad
NGC 6046,240.3706625,19.3598861,5,G,NED*
NGC 6047,241.2875375,17.7299722,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 6048,239.3755958,70.6891111,5;5.1.4,Elliptical Galaxy,Simbad
NGC 6049,241.4080417,8.0962500,3,Star,DSObrowser
NGC 6050,241.3473667,17.7571722,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 6051,241.2362667,23.9328722,5.5.3,Galaxy in Cluster of Galaxies,Simbad
NGC 6052,241.3036667,20.5423917,5.1.7,Interacting Galaxies,Simbad
NGC 6053,241.4166542,18.0558000,5.5.3,Galaxy in Cluster of Galaxies,Simbad
NGC 6054,241.3777000,17.7685722,5.1.7,Interacting Galaxies,Simbad
NGC 6055,241.3856208,18.1596667,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 6056,241.3802625,17.9635722,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 6057,241.4151458,18.1644083,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 6058,241.1108208,40.6822361,4.1.3,Planetary Nebula,Simbad
NGC 6059,241.8054542,-6.4129667,0,Lost object of unknown nature,DSObrowser
NGC 6060,241.4665833,21.4849833,5.5.2,Galaxy in Group of Galaxies,Simbad
