Name,RA,Dec,AVM code,AVM description,Source (S=S, N=N)
231,10.2801667,-73.3495556,3.6.4.1,OpC,S
232,10.6908917,-23.5613028,5.5.2;5.1.1,S..,S
233,10.9022625,30.5870083,5.5.2;5.1.4,E,S
234,10.8849292,14.3426167,5,G,S
235,10.7199708,-23.5410139,5.3.2.2;5.1.3,S0,S
236,10.8647667,2.9582222,5.5.2;5.1.1,S..,S
237,10.8661708,-0.1248667,5.3.2;5.1.2,SB,S
238,10.8573083,-50.1827972,5;5.1.1,S..,S
239,11.1563167,-3.7592250,5,EmG,S
240,11.2580042,6.1134111,5;5.1.3,S0,S
241,10.8864167,-73.4403889,3.6.4,Cl*,S
242,10.9065417,-73.4438611,3.6.4.1,OpC,S
243,11.5035917,29.9594528,5.5.2,GiG,S
244,11.4434583,-15.5968778,5,,N*
245,11.5224792,-1.7233917,5,H2G,S
246,11.7639083,-11.8719278,4.1.3,PN,S
247,11.7856417,-20.7604000,5,LSB,S
248,11.3502917,-73.3790000,3.6.4,Cl*,S
249,11.3758333,-73.0797222,4.2.1.1,HII,S
250,11.8166625,7.9099361,5.5.2;5.1.3,S0,S
251,11.9751292,19.5968083,5.5.1;5.1.1,S..,S
252,12.0061833,27.6238222,5.5.2;5.1.3,S0,S
253,11.8880583,-25.2888000,5.3.2.2;5.1.1,S..,S
254,11.8649792,-31.4216972,5.5.2;5.1.3,S0,S
255,11.9471208,-11.4686972,5.5.2;5.1.2,SB,S
256,11.4754583,-73.5066389,3.6.4.1,OpC,S
257,12.0062917,8.2970694,5.5.2;5.1.1,S..,S
258,12.0532167,27.6571556,5,G,S
259,12.0136708,-2.7752806,5,EmG,S
260,12.1443417,27.6924750,5.5.2,GiG,S
261,11.6312500,-73.1044444,4.2.1.1,HII,S
262,12.1964250,31.9569667,5.3.2.2;5.1.3,S0,S
263,12.2019708,-13.1074139,5,G,S
264,12.0872500,-38.2343944,5;5.1.3,S0,S
265,11.7976250,-73.4779167,3.6.4,Cl*,S
266,12.4491375,32.2777250,5.3.2.4;5.1.2,SB,S
267,12.0109583,-73.2774167,4.2.1.1,HII,S
268,12.5398458,-5.1937972,5;5.1.2,SB,S
269,12.0927083,-73.5302222,3.6.4,Cl*,S
270,12.6355208,-8.6515972,5.5.2,GiG,S
271,12.6743708,-1.9102139,5.5.2;5.1.2,SB,S
272,12.8250000,35.8333333,3.6.4,Cl*,S
273,12.7018292,-6.8857611,5;5.1.3,S0,S
274,12.7578000,-7.0568722,5.1.7;5.1.4,E,S
275,12.7670833,-7.0644722,5.5.2;5.1.2,SB,S
276,13.0273708,-22.6801861,5;5.1.2,SB,S
277,12.8218958,-8.5968056,5.5.2,GiG,S
278,13.0179167,47.5505361,5,H2G,S
279,13.0372458,-2.2184472,5.3.2.1;5.1.3,S0,S
280,13.1261083,24.3506278,5.5.2,GiG,S
281,13.1045792,56.5650000,4.2.1.1,HII,S
282,13.1755583,30.6391250,5;5.1.4,E,S
283,13.3050708,-13.1639472,5.5.2,GiG,S
284,13.3750000,-13.1500000,5,G,S
285,13.3743917,-13.1605972,5.5.2,GiG,S
286,13.3763667,-13.1128194,5.5.2,GiG,S
287,13.3679333,32.4822500,5.5.2;5.1.3,S0,S
288,13.1885000,-26.5826111,3.6.4.2,GlC,S
289,13.1765208,-31.2058306,5.3.2;5.1.2,SB,S
290,12.8013750,-73.1616944,3.6.4,Cl*,S
291,13.3747125,-8.7676333,5.3.2.2,Sy2,S
292,13.1583333,-72.8002778,5;5.2.2,d,S
293,13.5664500,-7.2355306,5.5.3,GiC,S
294,13.2635000,-73.3544167,3.6.4,Cl*,S
295,13.7813375,31.5422806,5.5.2;5.1.2,SB,S
296,13.8397208,31.6772806,5;5.1.1,S..,S
297,13.7455833,-7.3496667,5,,N*
298,13.7597792,-7.3330889,5.5.2,GiG,S
299,13.3530833,-72.1965556,3.6.4,Cl*,S
300,13.7228292,-37.6843806,5.5.2,GiG,S
301,14.0765167,-10.6738611,5,G,S
302,14.1054458,-10.6632222,3,,N*
303,13.7279625,-16.6546139,5,EmG,S
304,14.0251333,24.1268639,5.5.2;5.1.3,S0,S
305,13.9940958,12.1239333,5;5.1.2,SB,S
306,13.5596250,-72.2409167,3.6.4,Cl*,S
307,14.1358125,-1.7719389,5.5.2;5.1.4,E,S
308,14.0933333,-1.7791667,5,G,S
309,14.1777667,-9.9139167,5,EmG,S
310,14.1999083,-1.7657778,3,,N*
311,14.3864167,30.2808028,5.5.2;5.1.3,S0,S
312,14.0664125,-52.7826722,5.5.2;5.1.4,E,S
313,14.4401833,30.3660806,3.6,A triplet of stars,cseligman
314,14.2184000,-31.9629528,5;5.1.2,SB,S
315,14.4536792,30.3524472,5.3.2.4;5.1.4,E,S
316,14.4685333,30.3542972,3,,N*
317,14.4184250,43.7922333,5.5.1;5.1.2,SB,S
318,14.5217583,30.4256528,5.5.2;5.1.3,S0,S
319,14.2400625,-43.8387917,5;5.1.3,S0,S
320,14.6939708,-20.8401583,5;5.1.1,S..,S
321,14.4135458,-5.0860806,5,G,S
322,14.2916333,-43.7271278,5;5.1.1,S..,S
323,14.1735458,-52.9759056,5.5.2;5.1.4,E,S
324,14.3116042,-40.9591472,5;5.1.3,S0,S
325,14.4494542,-5.1120972,5.5.2,GiG,S
326,14.5943208,26.8662806,5;5.2.2,d,S
327,14.4806917,-5.1304250,5.5.2,GiG,S
328,14.2399333,-52.9239611,5.5.2,GiG,S
329,14.5066167,-5.0712528,5.5.2,GiG,S
330,14.0857917,-72.4534722,3.6.4,Cl*,S
331,14.2658333,-2.7575000,5,G,S
332,14.7046792,7.1112917,5,G,S
333,14.7138083,-16.4692472,5,G,S
334,14.7074875,-35.1160417,5;5.1.1,S..,S
335,14.8324458,-18.2345861,5;5.1.1,S..,S
336,14.7416833,-18.7426556,5;5.1.1,S..,S
337,14.9587083,-7.5779611,5;5.1.2,SB,S
338,15.1517083,30.6689194,5.5.2;5.1.1,S..,S
339,14.4537500,-74.4667222,3.6.4.1,OpC,S
340,15.1453583,-6.8666000,5,EmG,S
341,15.1908875,-9.1857639,5.1.7,IG,S
342,15.2077375,-6.7724278,5.5.2,GiG,S
343,14.5997167,-23.2252306,5.1.1,Spiral galaxy,cseligman
344,15.3982417,-23.2646917,5,G,S
345,15.3421458,-6.8842972,5.5.2,GiG,S
346,14.8250000,-72.1800000,3.6.4,Cl*,S
347,15.3964792,-6.7336694,5.5.3,GiC,S
348,15.2167625,-53.2445222,5;5.1.1,S..,S
349,15.4614208,-6.7998472,5.5.2,GiG,S
350,15.4863167,-6.7956806,5.5.2,GiG,S
