Name,Code,Description,Pronunciation,Genitive,Area (sq deg),RA low hours,RA low minutes,RA high hours,RA high minutes,Dec low degrees,Dec low arcminutes,Dec high degrees,Dec high arcminutes,RA mid hours,RA mid minutes,Dec mid hours,Dec mid arcminutes,Messier objects,Finest NGC,Caldwell,Brightest stars,NGC objects,Best date,V
Delphinus,Del,The Dolphin,del-fI-nus,Delphini,188.549,20,14.24,21,08.99,+02,24.13,+20,56.40,20,41.61,+11,40.26,,,2,,24,Aug 2,V
Dorado,Dor,The Swordfish,dO-ro-dO,Doradus,179.173,03,53.28,06,35.75,-70,06.25,-48,40.20,05,14.51,-59,23.22,,,1,,301,Dec 10,N
Draco,Dra,The Dragon,drA-kO,Draconis,1082.952,09,22.46,20,54.82,+47,32.86,+86,27.94,15,08.64,+67,00.40,1,3,2,1,313,May 10,V
Equuleus,Equ,The Little Horse,E-kwoo-lE-us,Equulei,71.641,20,56.18,21,26.33,+02,28.64,+13,02.34,21,11.26,+07,45.49,,,,,4,Aug 10,V
Eridanus,Eri,The River,E-rid-a-nus,Eridani,1137.919,01,24.82,05,11.22,-57,54.97,+00,24.22,03,18.02,-28,45.37,,2,,1,338,Nov 11,P
Fornax,For,The Furnace,for-naks,Fornacis,397.502,01,45.40,03,50.36,-39,30.77,-23,45.38,02,47.88,-31,38.07,,,1,,77,Nov 3,P
Gemini,Gem,The Twins,jem-i-nI,Geminorum,513.761,06,00.50,08,07.97,+09,48.59,+35,23.43,07,04.24,+22,36.01,1,2,1,3,67,Jan 7,V
Grus,Gru,The Crane,grus,Gruis,365.513,21,27.71,23,27.07,-56,23.45,-36,18.77,22,27.39,-46,21.11,,,,2,62,Aug 29,P
Hercules,Her,The Son of Zeus,her-cU-lEz,Herculis,1225.148,15,48.50,18,57.83,+03,40.41,+51,19.46,17,23.16,+27,29.93,2,1,,,226,Jun 13,V
Horologium,Hor,The Clock,hor-O-lO-jE-um,Horologii,248.885,02,12.81,04,20.31,-67,02.15,-39,38.21,03,16.56,-53,20.18,,,1,,25,Nov 10,N
Hydra,Hya,The female Water Snake,hId-ru,Hydrae,1302.844,08,10.94,15,02.52,-35,41.63,+06,37.81,11,36.73,-14,31.91,3,1,2,1,237,Mar 17,V
Hydrus,Hyi,The male Water Snake,hId-rus,Hydri,243.035,00,06.13,04,35.18,-82,03.87,-57,50.90,02,20.65,-69,57.39,,,,,16,Oct 27,N
Indus,Ind,The Indian,in-dus,Indi,294.006,20,28.68,23,27.99,-74,27.27,-44,57.53,21,58.33,-59,42.40,,,,,48,Aug 22,N
Lacerta,Lac,The Lizard,lu-ser-tu,Lacertae,200.688,21,57.51,22,57.86,+35,09.94,+56,55.08,22,27.68,+46,02.51,,,1,,26,Aug 29,V
Leo,Leo,The Lion,lE-O,Leonis,946.964,09,21.62,11,58.44,-06,41.50,+32,58.15,10,40.03,+13,08.32,5,5,1,4,409,Mar 3,V
Leo Minor,LMi,The Little Lion,lE-O mI-ner,Leonis Minoris,231.956,09,22.58,11,06.86,+22,50.26,+41,25.90,10,14.72,+32,08.08,,3,,,65,Feb 24,V
Lepus,Lep,The Hare,lE-pus,Leporis,290.291,04,55.04,06,12.86,-27,16.73,-10,48.83,05,33.95,-19,02.78,1,,,1,32,Dec 15,V
Libra,Lib,The Balance,lE-bru or lI-bru,Librae,538.052,14,21.63,16,02.29,-29,59.69,+00,28.46,15,11.96,-15,14.08,,,,,58,May 11,V
Lupus,Lup,The Wolf,loo-pus,Lupi,333.683,14,17.80,16,08.61,-55,34.80,-29,50.27,15,13.21,-42,42.53,,,,1,18,May 11,P
Lynx,Lyn,The Lynx,links,Lyncis,545.386,06,16.23,09,42.84,+32,58.15,+61,57.85,07,59.53,+47,28.00,,1,1,,107,Jan 21,V
