Date,Class,Value (W/m*2)
2001-09-24T09:32,X2.6,0.000260
2001-10-19T00:47,X1.6,0.000160
2001-10-19T16:13,X1.6,0.000160
2001-10-22T17:44,X1.2,0.000120
2001-10-25T14:42,X1.3,0.000130
2001-11-04T16:03,X1,0.000100
2001-11-25T09:45,X1.1,0.000110
2001-12-11T07:58,X2.8,0.000280
2001-12-13T14:20,X6.2,0.000620
2001-12-28T20:02,X3.4,0.000340
2002-04-21T00:43,X1.5,0.000150
2002-05-20T15:21,X2.1,0.000210
2002-07-03T02:08,X1.5,0.000150
2002-07-15T19:59,X3,0.000300
2002-07-18T07:24,X1.8,0.000180
2002-07-20T21:04,X3.3,0.000330
2002-07-23T00:18,X4.8,0.000480
2002-08-03T18:59,X1,0.000100
2002-08-21T05:28,X1,0.000100
2002-08-24T00:49,X3.1,0.000310
2002-08-30T12:47,X1.5,0.000150
2002-10-31T16:47,X1.2,0.000120
2003-03-17T18:50,X1.5,0.000150
2003-03-18T11:51,X1.5,0.000150
2003-05-27T22:56,X1.3,0.000130
2003-05-28T00:17,X3.6,0.000360
2003-05-29T00:51,X1.2,0.000120
2003-06-09T21:31,X1.7,0.000170
2003-06-10T23:19,X1.3,0.000130
2003-06-11T20:01,X1.6,0.000160
2003-06-15T23:25,X1.3,0.000130
2003-10-19T16:29,X1.1,0.000110
2003-10-23T08:19,X5.4,0.000540
2003-10-23T19:50,X1.1,0.000110
2003-10-26T05:57,X1.2,0.000120
2003-10-26T17:21,X1.2,0.000120
2003-10-28T09:51,X17.2,0.001720
2003-10-29T20:37,X10,0.001000
2003-11-02T17:03,X8.3,0.000830
2003-11-03T01:09,X2.7,0.000270
2003-11-03T09:43,X3.9,0.000390
2003-11-04T19:29,X28,0.002800
2004-02-26T01:50,X1.1,0.000110
2004-07-15T01:30,X1.8,0.000180
2004-07-15T18:15,X1.6,0.000160
2004-07-16T01:43,X1.3,0.000130
2004-07-16T10:32,X1.1,0.000110
2004-07-16T13:49,X3.6,0.000360
2004-07-17T07:51,X1,0.000100
2004-08-13T18:07,X1,0.000100
2004-08-18T17:29,X1.8,0.000180
2004-10-30T11:38,X1.2,0.000120
2004-11-07T15:42,X2,0.000200
2004-11-10T01:59,X2.5,0.000250
2005-01-01T00:01,X1.7,0.000170
2005-01-15T00:22,X1.2,0.000120
