P. Name,P. Name Kepler,P. Name KOI,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Max Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Name,S. Name HD,S. Name HIP,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
BD+14 4559 b,,,Warm,Jovian,gas,hydrogen-rich,non-habitable,467.37,467.37,,10.89,0.36,3.94,6.55,       0.3467503,       0.6028023,        1.144409,195.5,220.8,263.5,,,,169.2,-21.88,20.81,268.94,0.7770,0.29,0.74,,87.6,BD+14 4559,,HIP 104780,Peg,K2V,0.86,0.79,5008.0,0.348289,0.100,,9.6,50.00,21.2267,14.6894,-26.2,0.5650,1,1,0.462,1.117,-0.09,6.99,6.68,0.09,,0.00,0.00,0.43,1,0,0,1,Radial Velocity,      2009.00
BD+15 2375 b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,337.02,337.02,,10.37,0.30,3.13,5.70,        100.9861,        101.1881,        101.3907,807.6,808.0,808.4,,,,101.8,-27.31,19.81,153.22,0.5760,0.00,0.58,,55.0,BD+15 2375,,,Leo,K,1.08,8.95,4649.0,33.571764,-0.220,7.400,10.3,774.00,11.7656,14.6164,-31.8,8.2878,1,0,4.608,11.308,-2.20,6.54,2.15,0.12,,0.00,0.00,0.13,0,0,0,1,Radial Velocity,      2016.00
BD+15 2940 b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,352.91,352.91,,10.45,0.31,3.23,5.81,        222.4400,        365.6481,        644.7631,983.9,1099.6,1283.8,,,,109.1,-28.77,19.96,137.48,0.5390,0.26,0.52,,302.0,BD+15 2940,,HIP 78407,Ser,K0,1.10,14.70,4796.0,102.574923,0.280,7.100,9.2,585.00,16.0064,15.5469,-33.2,15.0953,1,0,8.007,19.521,-2.30,6.61,1.62,0.12,,0.00,0.00,0.12,0,0,0,1,Radial Velocity,      2013.00
BD+20 274 c,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,1335.35,1335.35,,11.67,0.84,9.81,10.70,        54.11933,        54.11934,        54.11934,691.0,691.0,691.0,,,,1122.8,-26.89,22.31,578.20,1.3000,0.00,1.30,,0.0,BD+20 274,,,Psc,K5,0.80,17.30,4296.0,91.461682,-0.460,,9.4,,1.7281,21.0050,-31.1,7.0964,1,0,7.698,19.204,-2.11,8.65,6.14,0.08,,0.00,0.00,0.10,0,0,0,1,Radial Velocity,      2012.00
BD+20 594 b,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,16.31,,2.23,1.47,3.28,2.71,        14.70450,        14.70450,        14.70450,498.9,498.9,498.9,546.5,546.5,546.5,24.0,-21.85,4.24,41.69,0.2410,0.00,0.24,89.5,0.0,BD+20 594,,,Tau,K0,0.96,0.93,5766.0,0.854052,-0.150,3.340,11.0,152.10,3.5767,20.5992,-29.7,2.0522,1,0,0.694,1.636,-1.96,-0.13,0.61,0.33,0.00,0.00,0.00,0.33,0,0,0,1,Primary Transit,      2016.00
BD+20 2457 b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,6810.27,6810.27,,10.85,5.34,57.90,25.06,        1.794673,        2.400301,        3.284628,294.9,315.8,343.0,,,,36354.4,-23.34,20.72,379.63,1.4500,0.15,1.43,,207.6,BD+20 2457,,,Leo,K2II,2.80,4.39,4127.0,4.989534,-1.000,,9.8,200.00,10.2792,19.8914,-27.7,1.6333,2,1,1.806,4.543,-1.27,15.83,25.44,0.03,,0.00,0.00,0.30,0,0,0,1,Radial Velocity,      2009.00
BD+20 2457 c,,,Warm,Jovian,gas,hydrogen-rich,non-habitable,3964.71,3964.71,,11.44,2.65,30.32,18.62,       0.8870959,        1.255510,        1.836708,247.3,268.0,296.6,,,,10511.7,-22.76,21.86,621.99,2.0100,0.18,1.98,,126.0,BD+20 2457,,,Leo,K2II,2.80,4.39,4127.0,4.989534,-1.000,,9.8,200.00,10.2792,19.8914,-27.0,1.1842,2,1,1.806,4.543,-0.86,12.36,20.15,0.04,,0.00,0.00,0.37,0,0,1,1,Radial Velocity,      2009.00
BD+24 4697 b,,,Warm,Jovian,gas,hydrogen-rich,non-habitable,16850.82,16850.82,,9.15,21.97,201.11,42.91,       0.5623290,        1.461887,        5.072234,220.6,265.7,382.3,,,,370219.9,-22.58,17.46,145.08,0.5000,0.50,0.43,,66.3,BD+24 4697,,,Peg,K,0.75,0.73,5077.0,0.316406,-0.110,,9.7,48.80,23.0275,25.7881,-27.3,0.9001,1,1,0.439,1.058,-0.92,27.87,46.94,0.02,,0.00,0.00,0.33,0,0,1,1,Radial Velocity,      2016.00
BD+26 1888 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,8266.44,8266.44,,10.55,7.05,74.31,28.00,      0.07846386,       0.1307965,       0.2348865,134.8,151.1,177.4,,,,58243.7,-20.14,20.15,536.78,1.1900,0.27,1.15,,1.3,BD+26 1888,,,Cnc,K7,0.76,0.63,4748.0,0.178471,0.020,,9.8,38.00,9.0419,25.8894,-24.6,0.2918,1,0,0.335,0.818,2.45,17.54,41.79,0.02,,0.00,0.00,0.16,0,0,0,1,Radial Velocity,      2016.00
BD+48 738 b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,289.33,289.33,,10.09,0.28,2.84,5.35,        28.62299,        42.06001,        64.39091,589.3,643.9,721.7,,,,81.4,-26.32,19.27,392.60,1.0000,0.20,0.98,,358.9,BD+48 738,,,Per,K0III,0.74,11.00,4414.0,41.210186,-0.200,,9.1,,2.7139,49.5869,-30.8,5.9857,1,0,5.149,12.771,-2.09,6.34,2.32,0.12,,0.00,0.00,0.15,0,0,0,1,Radial Velocity,      2011.00
BD+49 828 b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,508.70,508.70,,11.00,0.38,4.20,6.80,       0.9625576,        1.872228,        4.151014,252.3,290.9,363.6,,,,194.3,-23.16,21.03,2590.00,4.2000,0.35,3.93,,170.0,BD+49 828,,,Per,KO,1.52,7.60,4943.0,30.937093,-0.190,2.300,9.4,,3.0428,49.7300,-27.5,1.0295,1,0,4.368,10.586,-1.10,7.11,5.82,0.10,,0.00,0.00,0.41,0,0,0,1,Radial Velocity,      2015.00
BD-06 1339 b,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,8.58,8.58,,1.91,1.23,2.35,2.12,        456.2180,        456.2180,        456.2181,1177.4,1177.4,1177.4,1221.5,1221.5,1221.5,10.6,-25.27,3.63,3.87,0.0428,0.00,0.04,,0.0,BD-06 1339,,HIP 27803,Ori,K7V/M0V,0.70,1.64,4324.0,0.835718,-0.140,4.400,6.7,20.00,5.8833,-5.9947,-33.4,20.5046,2,0,0.735,1.832,-2.26,-0.14,-0.54,0.30,0.00,0.00,0.00,0.26,1,0,0,1,Radial Velocity,      2013.00
BD-06 1339 c,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,54.05,54.05,,6.46,0.20,1.30,2.89,        4.416532,        4.416533,        4.416533,369.3,369.3,369.3,,,,10.8,-22.86,12.30,125.94,0.4350,0.00,0.43,,0.0,BD-06 1339,,HIP 27803,Ori,K7V/M0V,0.70,1.64,4324.0,0.835718,-0.140,4.400,6.7,20.00,5.8833,-5.9947,-28.4,2.0068,2,0,0.735,1.832,-1.55,4.18,1.18,0.18,,0.00,0.00,0.39,1,0,0,1,Radial Velocity,      2013.00
BD-08 2823 b,,,Hot,Neptunian,gas,metals-rich,non-habitable,14.31,14.31,,4.16,0.20,0.83,1.86,        48.40723,        64.74268,        88.59536,672.0,719.6,781.6,,,,2.8,-24.84,7.91,5.60,0.0560,0.15,0.06,,30.0,BD-08 2823,,HIP 49067,Sex,K3V,0.74,0.67,4746.0,0.200736,-0.070,4.500,9.9,42.20,10.0133,-9.5167,-31.3,6.4173,2,1,0.355,0.867,-2.17,3.02,-0.40,0.21,,0.00,0.00,0.25,0,0,0,1,Radial Velocity,      2009.00
BD-08 2823 c,,,Warm,Jovian,gas,hydrogen-rich,non-habitable,104.92,104.92,,7.90,0.21,1.68,3.64,       0.3066077,       0.4421722,       0.6616632,189.6,206.3,229.8,,,,22.3,-20.81,15.06,237.60,0.6800,0.19,0.67,,127.0,BD-08 2823,,HIP 49067,Sex,K3V,0.74,0.67,4746.0,0.200736,-0.070,4.500,9.9,42.20,10.0133,-9.5167,-25.9,0.5319,2,1,0.355,0.867,0.24,4.98,3.15,0.15,,0.00,0.00,0.47,0,0,0,1,Radial Velocity,      2009.00
BD-10 3166 b,,,Hot,Jovian,gas,metals-rich,non-habitable,105.56,146.25,,11.54,0.10,1.10,3.56,        1032.665,        1054.302,        1076.520,1444.2,1451.7,1459.3,,,,13.9,-30.10,22.06,3.49,0.0460,0.01,0.05,,345.4,BD-10 3166,,,Crt,G4 V,0.99,1.71,5400.0,2.230782,0.500,4.180,10.1,66.00,10.9744,-10.7703,-34.3,19.9117,1,0,1.146,2.730,-2.39,8.35,0.08,0.10,,0.00,0.00,0.08,0,0,0,1,Radial Velocity,      2000.00
BD-11 4672 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,168.51,168.51,,8.97,0.23,2.09,4.33,      0.01697623,      0.01873883,      0.02073728,92.0,94.2,96.7,,,,39.3,-17.62,17.11,1667.00,2.2800,0.05,2.28,,0.0,BD-11 4672,,HIP 90979,Sct,K7V,0.57,0.52,4475.0,0.097290,-0.480,4.400,10.0,27.30,18.5581,-11.6361,-22.4,0.1217,1,0,0.250,0.618,10.03,5.60,6.90,0.07,,0.00,0.00,0.16,1,0,0,1,Radial Velocity,      2010.00
BD-17 63 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,1621.49,1621.49,,11.68,1.02,11.88,11.78,      0.04955057,       0.1395716,       0.5551637,120.2,146.2,219.9,,,,1648.7,-20.58,22.34,655.60,1.3400,0.54,1.13,,112.2,BD-17 63,,HIP 2247,Cet,K5V,0.74,0.69,4714.0,0.210934,-0.030,4.300,9.6,34.60,0.4761,-16.2264,-24.8,0.3260,1,0,0.364,0.891,2.28,9.09,16.13,0.05,,0.00,0.00,0.20,1,0,0,1,Radial Velocity,      2008.00
beta Cir b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,17804.64,17804.64,,9.03,24.16,218.21,44.40,    3.331176e-07,    3.331177e-07,    3.331177e-07,6.1,6.1,6.1,,,,430113.2,-5.70,17.23,,6656.0000,0.00,6656.00,,0.0,beta Cir,,,Cir,A3V,1.96,1.71,8676.0,14.757891,,0.367,,30.56,15.2919,-58.8011,-10.5,0.0001,1,0,2.664,6.139,3828.05,29.09,345.19,0.00,,0.00,0.00,0.04,0,0,0,1,Imaging,      2015.00
beta Cnc b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,2479.93,2479.93,,11.65,1.57,18.26,14.59,        161.7154,        189.2173,        222.8388,908.5,943.8,984.3,,,,3885.4,-28.25,22.29,605.20,1.7000,0.08,1.69,,58.9,beta Cnc,,,Cnc,K4III,1.70,48.96,3990.0,545.085116,-0.290,1.850,3.5,92.99,8.2753,9.1856,-32.5,15.4440,1,0,18.941,47.964,-2.19,10.35,7.44,0.07,,0.00,0.00,0.07,0,0,0,1,Radial Velocity,      2014.00
beta Pic b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,1554.38,2225.58,,18.48,0.35,6.52,10.97,      0.03193530,      0.05904876,       0.1219288,107.7,123.0,150.5,,,,784.8,-20.51,35.69,13288.00,13.1800,0.32,12.47,89.0,87.0,beta Pic,,,Pic,A6V,1.73,1.09,9790.0,9.707662,,0.040,3.9,19.30,5.7881,-51.0664,-23.7,0.0465,1,0,2.161,4.979,6.57,17.44,17.07,0.04,,0.00,0.00,0.11,0,0,0,1,Imaging,      2008.00
beta Umi b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,1939.43,1939.43,,11.68,1.22,14.21,12.88,        165.7544,        239.0416,        357.7002,914.1,994.9,1108.0,,,,2359.0,-28.53,22.34,522.30,1.4000,0.19,1.37,,307.4,beta Umi,,,UMi,K4III,1.40,42.06,4126.0,459.986643,-0.270,2.950,2.1,40.14,14.8450,74.1556,-32.7,16.3629,1,0,17.344,43.627,-2.21,9.56,6.12,0.08,,0.00,0.00,0.08,0,0,0,1,Radial Velocity,      2014.00
CD-35 2722 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,9856.14,9856.14,,10.24,9.18,93.98,31.02,    9.922235e-06,    9.922237e-06,    9.922240e-06,14.3,14.3,14.3,,,,90443.9,-9.68,19.56,,67.0000,0.00,67.00,,0.0,CD-35 2722,,,Col,M1V,0.40,0.52,3680.0,0.044541,0.040,0.100,11.0,21.30,6.1553,-35.8253,-14.2,0.0042,1,0,0.172,0.443,492.81,19.40,156.87,0.00,,0.00,0.00,0.04,0,0,0,1,Imaging,      2011.00
CFBDS 1458 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,2066.61,2066.61,,11.68,1.30,15.15,13.30,    6.401283e-06,    6.401283e-06,    6.401284e-06,12.8,12.8,12.8,,,,2680.7,-9.49,22.34,14600.00,2.6000,0.00,2.60,,0.0,CFBDS 1458,,,Boo,T9.5,0.02,0.76,540.0,0.000043,,3.000,,23.10,14.9747,10.2286,-13.7,0.1549,1,0,0.005,0.015,559.04,9.75,70.11,0.00,,0.00,0.00,0.07,0,0,0,1,Imaging,      2011.00
CHXR 73 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,3815.28,3815.28,,11.46,2.53,29.04,18.24,    5.140724e-07,    5.140725e-07,    5.140726e-07,6.8,6.8,6.8,,,,9663.9,-6.70,21.92,,200.0000,0.00,200.00,,0.0,CHXR 73,,,Cha,M3.25,0.35,0.33,3840.0,0.020563,,0.002,,,11.1081,-77.6258,-10.9,0.0009,1,0,0.117,0.298,2207.42,12.16,133.30,0.00,,0.00,0.00,0.06,0,0,0,1,Imaging,      2006.00
CoRoT-1 b,,,Hot,Jovian,gas,metals-rich,non-habitable,,327.48,,16.69,0.07,1.18,4.43,        2695.746,        2695.746,        2695.747,1835.8,1835.8,1835.8,,,,23.1,-31.93,32.13,1.51,0.0254,0.00,0.03,85.1,0.0,CoRoT-1,,,Mon,G0V,0.95,1.11,6298.0,1.739188,0.060,,13.6,460.00,6.8053,-3.1022,-35.3,23.4522,1,0,0.959,2.233,-2.47,12.54,0.27,0.07,,0.00,0.00,0.06,0,0,0,1,Primary Transit,      2007.00
CoRoT-2 b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,,1052.38,,16.41,0.24,3.91,8.01,        893.0377,        893.0377,        893.0378,1392.7,1392.7,1392.7,,,,250.7,-30.69,31.58,1.74,0.0281,0.00,0.03,87.8,0.0,CoRoT-2,,,Aql,G7V,0.97,0.90,5575.0,0.705152,-0.040,,12.6,300.00,19.4519,1.3839,-34.1,17.1706,1,0,0.638,1.511,-2.40,12.86,2.42,0.07,,0.00,0.00,0.06,0,0,0,1,Primary Transit,      2007.00
CoRoT-3 b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,241.56,6921.55,,11.31,4.78,54.09,24.74,        1059.134,        1059.134,        1059.134,1453.4,1453.4,1453.4,,,,33097.0,-30.07,21.63,4.26,0.0570,0.00,0.06,85.9,0.0,CoRoT-3,,,Aql,F3V,1.41,1.44,6558.0,3.441126,0.140,2.000,13.3,680.00,19.4703,0.1219,-34.3,13.4943,1,0,1.328,3.081,-2.45,16.80,10.81,0.05,,0.00,0.00,0.08,0,0,0,1,Primary Transit,      2008.00
CoRoT-4 b,,,Hot,Jovian,gas,metals-rich,non-habitable,,228.92,,13.33,0.10,1.29,4.14,        215.0617,        215.0617,        215.0617,975.6,975.6,975.6,,,,22.1,-28.68,25.54,9.20,0.0900,0.00,0.09,90.0,0.0,CoRoT-4,,,Mon,F8V,1.10,1.15,6190.0,1.742000,0.050,1.000,13.7,,6.8131,-0.6728,-32.6,6.8135,1,0,0.966,2.254,-2.36,9.61,0.84,0.09,,0.00,0.00,0.07,0,0,0,1,Primary Transit,      2008.00
CoRoT-5 b,,,Hot,Jovian,gas,metals-rich,non-habitable,,148.48,,14.90,0.04,0.67,3.16,        601.0048,        716.9039,        862.2080,1261.4,1316.3,1380.5,,,,6.7,-30.24,28.60,4.04,0.0495,0.09,0.05,85.8,231.7,CoRoT-5,,,Mon,F9V,1.00,1.19,6100.0,1.747345,-0.250,6.900,14.0,400.00,6.7519,0.8153,-33.9,12.8552,1,0,0.973,2.274,-2.42,11.74,-0.05,0.08,,0.00,0.00,0.06,0,0,0,1,Primary Transit,      2008.00
CoRoT-6 b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,,941.10,,13.06,0.42,5.52,8.49,        146.5983,        178.2612,        218.9724,886.5,929.2,980.0,,,,397.7,-28.44,25.02,8.89,0.0855,0.10,0.09,89.1,0.0,CoRoT-6,,,Oph,F9V,1.05,1.02,6090.0,1.296602,-0.200,,13.9,,18.7383,6.6633,-32.4,6.4243,1,0,0.838,1.961,-2.34,9.46,3.65,0.09,,0.00,0.00,0.07,0,0,0,1,Primary Transit,      2009.00
CoRoT-7 b,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,7.42,,1.67,1.60,2.67,2.11,        1829.071,        1829.072,        1829.072,1666.1,1666.1,1666.1,1710.7,1710.7,1710.7,11.9,-26.49,3.17,0.85,0.0172,0.00,0.02,80.1,0.0,CoRoT-7,,,Mon,K0V,0.93,0.87,5313.0,0.541113,0.030,1.500,11.7,150.00,6.7303,-1.0628,-34.9,27.2106,2,0,0.567,1.355,-2.40,-0.46,-0.73,0.28,0.00,0.00,0.00,0.27,0,0,0,1,Primary Transit,      2009.00
CoRoT-7 c,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,8.39,8.39,,1.90,1.23,2.33,2.10,        255.7243,        255.7243,        255.7243,1018.8,1018.8,1018.8,1062.8,1062.8,1062.8,10.3,-24.62,3.61,3.70,0.0460,0.00,0.05,,0.0,CoRoT-7,,,Mon,K0V,0.93,0.87,5313.0,0.541113,0.030,1.500,11.7,150.00,6.7303,-1.0628,-32.8,10.0921,2,0,0.567,1.355,-2.32,-0.14,-0.46,0.30,0.00,0.00,0.00,0.26,0,0,0,1,Radial Velocity,      2009.00
CoRoT-8 b,,,Hot,Jovian,gas,metals-rich,non-habitable,,68.62,,6.37,0.26,1.69,3.28,        89.25754,        89.25756,        89.25758,783.1,783.1,783.1,,,,18.2,-26.12,12.14,6.21,0.0630,0.00,0.06,88.4,0.0,CoRoT-8,,,Aql,K1V,0.88,0.77,5080.0,0.354263,0.300,3.000,14.8,380.00,19.4392,1.4267,-31.6,6.5169,1,0,0.464,1.119,-2.23,3.79,0.54,0.18,,0.00,0.00,0.14,0,0,0,1,Primary Transit,      2010.00
CoRoT-9 b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,,267.07,,10.53,0.23,2.41,5.04,        3.889057,        4.820483,        6.048767,357.8,376.6,399.5,,,,61.1,-24.03,20.11,95.27,0.4070,0.11,0.40,89.9,37.0,CoRoT-9,,,Ser,G3V,0.99,0.94,5625.0,0.793662,-0.010,4.000,13.7,460.00,18.7192,6.2042,-28.5,1.2384,1,0,0.675,1.596,-1.58,6.79,3.28,0.11,,0.00,0.00,0.25,0,0,0,1,Primary Transit,      2010.00
CoRoT-10 b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,,874.34,,10.86,0.68,7.41,8.97,        14.26106,        39.35395,        151.0733,495.1,600.8,893.2,,,,596.2,-26.56,20.76,13.24,0.1055,0.53,0.09,88.5,218.9,CoRoT-10,,,Aql,K1V,0.89,0.79,5075.0,0.371440,0.260,3.000,15.2,345.00,19.4042,0.7461,-30.9,4.7072,1,0,0.476,1.147,-2.13,7.28,5.00,0.10,,0.00,0.00,0.11,0,0,0,1,Primary Transit,      2010.00
CoRoT-11 b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,,740.80,,16.02,0.18,2.89,6.80,        1418.954,        1418.954,        1418.955,1563.6,1563.6,1563.6,,,,133.6,-31.14,30.81,2.99,0.0435,0.00,0.04,81.4,0.0,CoRoT-11,,,Ser,F6V,1.27,1.36,6343.0,2.686251,0.040,2.000,12.9,560.00,18.7125,5.9378,-34.6,16.7167,1,0,1.189,2.766,-2.45,12.00,1.60,0.07,,0.00,0.00,0.06,0,0,0,1,Primary Transit,      2010.00
CoRoT-12 b,,,Hot,Jovian,gas,metals-rich,non-habitable,,291.55,,16.13,0.07,1.12,4.25,        627.7047,        720.3788,        830.8610,1275.2,1318.7,1367.8,,,,20.3,-30.42,31.03,2.83,0.0402,0.07,0.04,85.5,105.0,CoRoT-12,,,Mon,G2V,1.08,1.12,5675.0,1.158995,0.160,6.300,15.5,1150.00,6.7178,-1.2964,-33.9,14.8874,1,0,0.813,1.921,-2.40,12.09,0.53,0.07,,0.00,0.00,0.06,0,0,0,1,Primary Transit,      2010.00
CoRoT-13 b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,,415.87,,9.91,0.43,4.23,6.48,        439.5413,        439.5414,        439.5414,1166.5,1166.5,1166.5,,,,177.6,-28.82,18.92,4.04,0.0510,0.00,0.05,88.0,0.0,CoRoT-13,,,Mon,G0V,1.09,1.01,5945.0,1.143247,0.010,1.640,15.0,1310.00,6.8481,-5.0864,-33.4,10.5688,1,0,0.794,1.864,-2.39,6.07,1.94,0.13,,0.00,0.00,0.09,0,0,0,1,Primary Transit,      2010.00
CoRoT-14 b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,,2416.34,,12.21,1.33,16.21,14.07,        2390.243,        2390.243,        2390.243,1781.4,1781.4,1781.4,,,,3209.1,-31.12,23.36,1.51,0.0270,0.00,0.03,79.6,0.0,CoRoT-14,,,Mon,F9V,1.13,1.21,6035.0,1.742487,0.050,4.200,16.0,1340.00,6.8950,-5.5361,-35.2,24.0589,1,0,0.975,2.283,-2.45,10.87,4.71,0.08,,0.00,0.00,0.07,0,0,0,1,Primary Transit,      2010.00
CoRoT-15 b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,,20125.60,,12.54,10.20,127.90,40.05,        1405.497,        1405.497,        1405.497,1559.9,1559.9,1559.9,,,,205205.8,-30.60,24.01,3.06,0.0450,0.00,0.04,86.7,0.0,CoRoT-15,,,Mon,F7V,1.30,1.06,7300.0,2.846131,,,,,6.4744,6.1862,-34.6,12.5852,1,0,1.170,2.696,-2.47,46.86,17.88,0.02,,0.00,0.00,0.07,0,0,0,1,Primary Transit,      2010.00
CoRoT-16 b,,,Hot,Jovian,gas,metals-rich,non-habitable,,170.10,,13.10,0.08,0.99,3.60,        191.6928,        359.1192,        755.1809,948.0,1085.5,1335.5,,,,12.9,-29.27,25.10,5.35,0.0618,0.33,0.06,85.0,168.4,CoRoT-16,,,Sct,G5V,1.10,1.19,5650.0,1.294725,0.190,6.730,15.6,840.00,18.5683,-6.0025,-33.2,10.8870,1,0,0.860,2.034,-2.36,9.73,0.35,0.09,,0.00,0.00,0.07,0,0,0,1,Primary Transit,      2010.00
CoRoT-17 b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,,772.59,,11.42,0.52,5.92,8.22,        1158.590,        1158.590,        1158.590,1486.4,1486.4,1486.4,,,,400.4,-30.18,21.84,3.77,0.0461,0.00,0.05,88.3,0.0,CoRoT-17,,,Sct,G2V,1.04,1.59,5740.0,2.462247,0.000,10.700,15.5,920.00,18.5797,-6.6122,-34.4,18.4601,1,0,1.180,2.784,-2.41,7.70,2.39,0.11,,0.00,0.00,0.08,0,0,0,1,Primary Transit,      2010.00
CoRoT-18 b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,,1103.25,,14.67,0.35,5.13,8.67,        774.1521,        905.8071,        1066.758,1343.9,1396.0,1456.0,,,,385.4,-30.47,28.16,1.90,0.0295,0.08,0.03,86.5,0.0,CoRoT-18,,,Mon,G9V,0.95,1.00,5440.0,0.785752,-0.100,,15.0,870.00,6.5447,0.0314,-34.2,18.1994,1,0,0.679,1.615,-2.39,11.26,2.75,0.08,,0.00,0.00,0.06,0,0,0,1,Primary Transit,      2011.00
CoRoT-19 b,,,Hot,Jovian,gas,metals-rich,non-habitable,,352.91,,14.45,0.12,1.69,4.94,        1142.335,        1253.567,        1378.737,1481.1,1515.3,1552.4,,,,41.3,-30.78,27.73,3.90,0.0518,0.05,0.05,87.6,86.0,CoRoT-19,,,Mon,F9V,1.21,1.65,6090.0,3.359904,-0.020,5.000,14.8,800.00,6.4689,0.1706,-34.5,17.0568,1,0,1.350,3.156,-2.44,10.38,0.72,0.09,,0.00,0.00,0.06,0,0,0,1,Primary Transit,      2011.00
CoRoT-20 b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,902.03,1348.07,,9.41,1.62,15.23,11.97,        45.74640,        134.8913,        581.5852,662.6,810.2,1251.1,,,,2182.4,-27.62,17.95,9.24,0.0902,0.56,0.07,88.2,56.3,CoRoT-20,,,Mon,G2V,1.14,0.92,5880.0,0.907768,0.140,0.100,14.7,1230.00,6.5154,0.2269,-32.3,6.5751,1,0,0.711,1.670,-2.31,6.42,5.94,0.10,,0.00,0.00,0.10,0,0,0,1,Primary Transit,      2011.00
CoRoT-21 b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,707.63,718.54,,14.56,0.23,3.39,7.02,        2884.188,        2884.188,        2884.189,1867.0,1867.0,1867.0,,,,167.3,-31.71,27.95,2.72,0.0417,0.00,0.04,86.8,0.0,CoRoT-21,,,Mon,F8IV,1.29,1.95,6200.0,5.015286,0.000,4.100,16.0,,6.7368,-0.2991,-35.4,25.0558,1,0,1.638,3.822,-2.46,10.60,1.41,0.08,,0.00,0.00,0.06,0,0,0,1,Primary Transit,      2011.00
CoRoT-22 b,,,Hot,Neptunian,gas,metals-rich,non-habitable,,12.20,,4.88,0.11,0.51,1.58,        146.7318,        170.6929,        199.7656,886.7,919.8,957.8,,,,1.3,-26.24,9.28,9.76,0.0920,0.08,0.09,89.7,210.0,CoRoT-22,,,Ser,G0IV,1.10,1.14,5939.0,1.440456,0.170,3.300,11.9,592.00,18.7111,6.2250,-32.3,6.6036,1,0,0.892,2.093,-2.33,4.45,-0.72,0.16,,0.00,0.00,0.16,0,0,0,1,Primary Transit,      2011.00
CoRoT-23 b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,,890.23,,12.10,0.50,6.08,8.58,        920.5709,        1254.713,        1755.312,1403.3,1508.9,1649.0,,,,447.8,-30.41,23.14,3.63,0.0477,0.16,0.05,85.7,51.8,CoRoT-23,,,Ser,G0V,1.14,1.61,5900.0,2.818056,0.050,7.200,15.6,600.00,18.6522,4.3578,-34.5,18.2997,1,0,1.251,2.937,-2.43,8.47,2.52,0.10,,0.00,0.00,0.07,0,0,0,1,Primary Transit,      2011.00
